
2024/10/21 (16:05:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:06:19) | ===> btop++ v.1.4.0
2024/10/21 (16:06:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:06:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (16:06:31) | ===> btop++ v.1.4.0
2024/10/21 (16:06:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (16:06:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:22:51) | ===> btop++ v.1.4.0
2024/10/21 (21:22:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:22:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:59:50) | ===> btop++ v.1.4.0
2024/10/21 (21:59:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:59:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (15:24:54) | ===> btop++ v.1.4.0
2024/10/22 (15:24:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (15:24:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (21:24:09) | ===> btop++ v.1.4.0
2024/10/23 (21:24:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (21:24:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (21:25:54) | ===> btop++ v.1.4.0
2024/10/23 (21:25:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (21:25:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/24 (21:53:46) | ===> btop++ v.1.4.0
2024/10/24 (21:53:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/24 (21:53:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/24 (21:53:51) | ===> btop++ v.1.4.0
2024/10/24 (21:53:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
